Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-05-31 00:00:00-04:00,194.3049788306484,197.0068506497154,191.43361914292925,193.05873107910156,26131100,0.0,0.0
2022-06-01 00:00:00-04:00,195.9201010436511,198.93103971726762,184.4446578100871,188.07373046875,36623500,0.0,0.0
2022-06-02 00:00:00-04:00,187.88429220982968,200.33680417471194,187.16645234815445,198.26304626464844,31951600,0.0,0.0
2022-06-03 00:00:00-04:00,195.39170892215668,196.01982267542553,189.21032293665343,190.2073211669922,19465000,0.0,0.0
2022-06-06 00:00:00-04:00,193.40767134069327,196.32886853859793,187.8344402717381,193.66688537597656,30574200,0.0,0.0
2022-06-07 00:00:00-04:00,191.35384874869442,195.94004635076556,190.91518233903057,195.06268310546875,18828700,0.0,0.0
2022-06-08 00:00:00-04:00,194.08564069292103,201.4235481640079,193.82642663368986,196.0497283935547,22267200,0.0,0.0
2022-06-09 00:00:00-04:00,193.69680227231456,198.8512809596242,183.12861563849424,183.44766235351562,23501600,0.0,0.0
2022-06-10 00:00:00-04:00,182.49053077509933,182.55036344172524,174.4946167366435,175.04296875,27450800,0.0,0.0
2022-06-13 00:00:00-04:00,170.07790670289126,172.06193845076828,163.5376014288833,163.76690673828125,31749300,0.0,0.0
2022-06-14 00:00:00-04:00,165.5315935487296,166.24943339873437,160.87561424102176,163.23849487304688,27244300,0.0,0.0
2022-06-15 00:00:00-04:00,166.69810418285138,171.64322219138714,163.48776860417408,168.84165954589844,30008300,0.0,0.0
2022-06-16 00:00:00-04:00,163.2285512573698,164.58446945723327,159.13088792795028,160.38710021972656,26944100,0.0,0.0
2022-06-17 00:00:00-04:00,161.19466032614568,165.40199391201028,159.420004762021,163.2484893798828,31374200,0.0,0.0
2022-06-21 00:00:00-04:00,165.431884893478,167.2563932140529,155.50179248905036,156.57855224609375,50724900,0.0,0.0
2022-06-22 00:00:00-04:00,157.90457579611467,160.30732983556192,154.97339872806688,155.38217163085938,47267800,0.0,0.0
2022-06-23 00:00:00-04:00,155.8009166823568,159.27046624131088,153.78697601078062,158.27346801757812,40499200,0.0,0.0
2022-06-24 00:00:00-04:00,161.2445130439705,169.7389418842452,160.81581112441052,169.6492156982422,68736000,0.0,0.0
2022-06-27 00:00:00-04:00,170.80572481145137,171.23442669979204,167.50564826325044,168.98121643066406,29174600,0.0,0.0
2022-06-28 00:00:00-04:00,169.38998691027314,170.7857935083035,160.12788039075593,160.19766235351562,27744500,0.0,0.0
2022-06-29 00:00:00-04:00,163.07899153636853,165.83070090035093,159.8387476116822,163.4478759765625,28595200,0.0,0.0
2022-06-30 00:00:00-04:00,161.66323764947668,164.73399365759894,158.01423612427138,160.7659454345703,35250600,0.0,0.0
2022-07-01 00:00:00-04:00,159.8287645769982,160.13783155701492,154.53470704707578,159.5496063232422,31423900,0.0,0.0
2022-07-05 00:00:00-04:00,157.66528527762262,167.74493708323882,156.54865222878962,167.68511962890625,28618600,0.0,0.0
2022-07-06 00:00:00-04:00,167.6950967354283,171.07492007606172,164.96333136239423,169.26039123535156,23085900,0.0,0.0
2022-07-07 00:00:00-04:00,168.941345616696,172.20153406114096,167.27636041209186,171.67312622070312,24083400,0.0,0.0
2022-07-08 00:00:00-04:00,169.46974270057217,171.88247641827618,167.6452342451918,170.36705017089844,19249200,0.0,0.0
2022-07-11 00:00:00-04:00,166.56847663813747,166.98721400645675,161.42396289081464,162.39105224609375,21885600,0.0,0.0
2022-07-12 00:00:00-04:00,164.30529791796351,165.41196647133518,161.61340595956835,162.77989196777344,16639700,0.0,0.0
2022-07-13 00:00:00-04:00,159.6792313131935,164.48475460455936,159.13087927450425,162.99923706054688,16555100,0.0,0.0
2022-07-14 00:00:00-04:00,160.7360438508959,162.10192645581108,156.807868684047,157.5755615234375,23765200,0.0,0.0
2022-07-15 00:00:00-04:00,160.05808085097325,164.48475519671405,159.34025615854156,164.20559692382812,23342800,0.0,0.0
2022-07-18 00:00:00-04:00,166.24944197248345,171.17461528118807,165.14277341440211,166.72799682617188,23574300,0.0,0.0
2022-07-19 00:00:00-04:00,169.85858571035385,175.9602252994202,169.0011666132653,175.25234985351562,25933700,0.0,0.0
2022-07-20 00:00:00-04:00,176.95719463749145,183.048853512801,176.1695576352806,182.54037475585938,24784300,0.0,0.0
2022-07-21 00:00:00-04:00,180.08777912004572,183.2981143518721,178.33305265515617,182.62014770507812,27195800,0.0,0.0
2022-07-22 00:00:00-04:00,172.55048273244597,175.072886916912,167.90446755128514,168.7618865966797,42583900,0.0,0.0
2022-07-25 00:00:00-04:00,168.49268621903767,170.05798060626358,164.3152615645,166.1497344970703,26166300,0.0,0.0
2022-07-26 00:00:00-04:00,165.4418827253973,165.50170018295208,157.47586167967575,158.67225646972656,28468400,0.0,0.0
2022-07-27 00:00:00-04:00,162.10193060688025,170.35707432899028,161.53364955443013,169.07095336914062,43846600,0.0,0.0
2022-07-28 00:00:00-04:00,160.57652455846562,161.02517069720878,154.3851743752431,160.237548828125,73214300,0.0,0.0
2022-07-29 00:00:00-04:00,157.21663501415154,159.65927735059705,154.70419550750108,158.62240600585938,42065400,0.0,0.0
2022-08-01 00:00:00-04:00,156.77797268282592,164.69414111437035,154.76403198554726,159.44992065429688,40596700,0.0,0.0
2022-08-02 00:00:00-04:00,157.83477556240416,161.75298622425316,157.53567307315862,159.70913696289062,27374500,0.0,0.0
2022-08-03 00:00:00-04:00,162.20162993667026,169.03105807234246,161.08499688729557,168.2932891845703,31721900,0.0,0.0
2022-08-04 00:00:00-04:00,167.7947933163337,171.63322710330164,166.29929607681734,170.0579833984375,23938200,0.0,0.0
2022-08-05 00:00:00-04:00,166.4887330054347,171.09485976901115,165.30230272682016,166.60836791992188,25832700,0.0,0.0
2022-08-08 00:00:00-04:00,167.4956915094989,176.97713857005854,166.62830797519408,169.7389373779297,27299100,0.0,0.0
2022-08-09 00:00:00-04:00,168.4428463137777,169.0211071072359,166.09990962335368,168.02410888671875,18655100,0.0,0.0
2022-08-10 00:00:00-04:00,175.4617052608061,179.93821709976055,173.42782056925464,177.8046417236328,30262100,0.0,0.0
2022-08-11 00:00:00-04:00,179.17053610636253,182.55035907309713,175.8405508744807,176.9571990966797,24079100,0.0,0.0
2022-08-12 00:00:00-04:00,180.2672426680624,180.91530062786723,178.3729521673704,179.9581756591797,21274000,0.0,0.0
2022-08-15 00:00:00-04:00,178.42280093743238,180.89535216351646,177.6650725845305,180.3470001220703,15878700,0.0,0.0
2022-08-16 00:00:00-04:00,178.90135042781927,180.44670060255115,176.5085457405938,178.93125915527344,21156700,0.0,0.0
2022-08-17 00:00:00-04:00,176.2293892001595,177.60525152845278,173.64716761811786,174.32513427734375,20118100,0.0,0.0
2022-08-18 00:00:00-04:00,173.81664970844696,175.2323852224012,171.34409861456803,174.1356964111328,18844500,0.0,0.0
2022-08-19 00:00:00-04:00,169.6890765942702,171.8027229486772,166.54853860862872,167.455810546875,26240800,0.0,0.0
2022-08-22 00:00:00-04:00,164.99322472736057,164.99322472736057,161.77290983915367,162.560546875,19499700,0.0,0.0
